car_ID,symboling,CarName,fueltype,aspiration,doornumber,carbody,drivewheel,enginelocation,wheelbase,carlength,carwidth,carheight,curbweight,enginetype,cylindernumber,enginesize,fuelsystem,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg,price,CompanyName
147,0,subaru trezia,0,0,4,wagon,fwd,front,97.0,173.5,65.4,53.0,2290,ohcf,4,108,2bbl,3.62,2.64,9.0,82,4800,28,32,8.917712757131387,subaru
148,0,subaru tribeca,0,0,4,wagon,fwd,front,97.0,173.5,65.4,53.0,2455,ohcf,4,108,mpfi,3.62,2.64,9.0,94,5200,25,31,9.2299469016151,subaru
149,0,subaru dl,0,0,4,wagon,4wd,front,96.9,173.6,65.4,54.9,2420,ohcf,4,108,2bbl,3.62,2.64,9.0,82,4800,23,29,8.98882050177807,subaru
150,0,subaru dl,0,1,4,wagon,4wd,front,96.9,173.6,65.4,54.9,2650,ohcf,4,108,mpfi,3.62,2.64,7.7,111,4800,23,23,9.366831168735615,subaru
151,1,toyota corona mark ii,0,0,2,hatchback,fwd,front,95.7,158.7,63.6,54.5,1985,ohc,4,92,2bbl,3.05,3.03,9.0,62,4800,35,39,8.584477938221834,toyota
152,1,toyota corona,0,0,2,hatchback,fwd,front,95.7,158.7,63.6,54.5,2040,ohc,4,92,2bbl,3.05,3.03,9.0,62,4800,31,38,8.754318540250866,toyota
153,1,toyota corolla 1200,0,0,4,hatchback,fwd,front,95.7,158.7,63.6,54.5,2015,ohc,4,92,2bbl,3.05,3.03,9.0,62,4800,31,38,8.77770959579525,toyota
154,0,toyota corona hardtop,0,0,4,wagon,fwd,front,95.7,169.7,63.6,59.1,2280,ohc,4,92,2bbl,3.05,3.03,9.0,62,4800,31,37,8.841881989497114,toyota
155,0,toyota corolla 1600 (sw),0,0,4,wagon,4wd,front,95.7,169.7,63.6,59.1,2290,ohc,4,92,2bbl,3.05,3.03,9.0,62,4800,27,32,8.974364841846596,toyota
156,0,toyota carina,0,0,4,wagon,4wd,front,95.7,169.7,63.6,59.1,3110,ohc,4,92,2bbl,3.05,3.03,9.0,62,4800,27,32,9.080003870248179,toyota
157,0,toyota mark ii,0,0,4,sedan,fwd,front,95.7,166.3,64.4,53.0,2081,ohc,4,98,2bbl,3.19,3.03,9.0,70,4800,30,37,8.844768827529695,toyota
158,0,toyota corolla 1200,0,0,4,hatchback,fwd,front,95.7,166.3,64.4,52.8,2109,ohc,4,98,2bbl,3.19,3.03,9.0,70,4800,30,37,8.881558488638976,toyota
159,0,toyota corona,1,0,4,sedan,fwd,front,95.7,166.3,64.4,53.0,2275,ohc,4,110,idi,3.27,3.35,22.5,56,4500,34,36,8.974364841846596,toyota
160,0,toyota corolla,1,0,4,hatchback,fwd,front,95.7,166.3,64.4,52.8,2275,ohc,4,110,idi,3.27,3.35,22.5,56,4500,38,47,8.960339366492091,toyota
161,0,toyota corona,0,0,4,sedan,fwd,front,95.7,166.3,64.4,53.0,2094,ohc,4,98,2bbl,3.19,3.03,9.0,70,4800,38,47,8.953898535260459,toyota
162,0,toyota corolla,0,0,4,hatchback,fwd,front,95.7,166.3,64.4,52.8,2122,ohc,4,98,2bbl,3.19,3.03,9.0,70,4800,28,34,9.03097444300786,toyota
163,0,toyota mark ii,0,0,4,sedan,fwd,front,95.7,166.3,64.4,52.8,2140,ohc,4,98,2bbl,3.19,3.03,9.0,70,4800,28,34,9.133243321591216,toyota
164,1,toyota corolla liftback,0,0,2,sedan,rwd,front,94.5,168.7,64.0,52.6,2169,ohc,4,98,2bbl,3.19,3.03,9.0,70,4800,29,34,8.994420665751292,toyota
165,1,toyota corona,0,0,2,hatchback,rwd,front,94.5,168.7,64.0,52.6,2204,ohc,4,98,2bbl,3.19,3.03,9.0,70,4800,29,34,9.016512874996026,toyota
166,1,toyota celica gt liftback,0,0,2,sedan,rwd,front,94.5,168.7,64.0,52.6,2265,dohc,4,98,mpfi,3.24,3.08,9.4,112,6600,26,29,9.13755460225053,toyota
167,1,toyota corolla tercel,0,0,2,hatchback,rwd,front,94.5,168.7,64.0,52.6,2300,dohc,4,98,mpfi,3.24,3.08,9.4,112,6600,26,29,9.16303909885817,toyota
168,2,toyota corona liftback,0,0,2,hardtop,rwd,front,98.4,176.2,65.6,52.0,2540,ohc,4,146,mpfi,3.62,3.5,9.3,116,4800,24,30,9.041803370152845,toyota
169,2,toyota corolla,0,0,2,hardtop,rwd,front,98.4,176.2,65.6,52.0,2536,ohc,4,146,mpfi,3.62,3.5,9.3,116,4800,24,30,9.173572647783969,toyota
170,2,toyota starlet,0,0,2,hatchback,rwd,front,98.4,176.2,65.6,52.0,2551,ohc,4,146,mpfi,3.62,3.5,9.3,116,4800,24,30,9.20923976653215,toyota
171,2,toyota tercel,0,0,2,hardtop,rwd,front,98.4,176.2,65.6,52.0,2679,ohc,4,146,mpfi,3.62,3.5,9.3,116,4800,24,30,9.323579767582693,toyota
172,2,toyota corolla,0,0,2,hatchback,rwd,front,98.4,176.2,65.6,52.0,2714,ohc,4,146,mpfi,3.62,3.5,9.3,116,4800,24,30,9.354354132115088,toyota
173,2,toyota cressida,0,0,2,convertible,rwd,front,98.4,176.2,65.6,53.0,2975,ohc,4,146,mpfi,3.62,3.5,9.3,116,4800,24,30,9.77956697061665,toyota
174,-1,toyota corolla,0,0,4,sedan,fwd,front,102.4,175.6,66.5,54.9,2326,ohc,4,122,mpfi,3.31,3.54,8.7,92,4200,29,34,9.09918532261002,toyota
175,-1,toyota celica gt,1,1,4,sedan,fwd,front,102.4,175.6,66.5,54.9,2480,ohc,4,110,idi,3.27,3.35,22.5,73,4500,30,33,9.277812087091196,toyota
176,-1,toyota corona,0,0,4,hatchback,fwd,front,102.4,175.6,66.5,53.9,2414,ohc,4,122,mpfi,3.31,3.54,8.7,92,4200,27,32,9.209139651399664,toyota
177,-1,toyota corolla,0,0,4,sedan,fwd,front,102.4,175.6,66.5,54.9,2414,ohc,4,122,mpfi,3.31,3.54,8.7,92,4200,27,32,9.296334565143043,toyota
178,-1,toyota mark ii,0,0,4,hatchback,fwd,front,102.4,175.6,66.5,53.9,2458,ohc,4,122,mpfi,3.31,3.54,8.7,92,4200,27,32,9.327945614050446,toyota
179,3,toyota corolla liftback,0,0,2,hatchback,rwd,front,102.9,183.5,67.7,52.0,2976,dohc,6,171,mpfi,3.27,3.35,9.3,161,5200,20,24,9.71462464769875,toyota
180,3,toyota corona,0,0,2,hatchback,rwd,front,102.9,183.5,67.7,52.0,3016,dohc,6,171,mpfi,3.27,3.35,9.3,161,5200,19,24,9.680218993408767,toyota
181,-1,toyota starlet,0,0,4,sedan,rwd,front,104.5,187.8,66.5,54.1,3131,dohc,6,171,mpfi,3.27,3.35,9.2,156,5200,20,24,9.660778845727078,toyota
182,-1,toyouta tercel,0,0,4,wagon,rwd,front,104.5,187.8,66.5,54.1,3151,dohc,6,161,mpfi,3.27,3.35,9.2,156,5200,19,24,9.66459564425378,toyota
183,2,vokswagen rabbit,1,0,2,sedan,fwd,front,97.3,171.7,65.5,55.7,2261,ohc,4,97,idi,3.01,3.4,23.0,52,4800,37,46,8.958668737047434,volkswagen
184,2,volkswagen 1131 deluxe sedan,0,0,2,sedan,fwd,front,97.3,171.7,65.5,55.7,2209,ohc,4,109,mpfi,3.19,3.4,9.0,85,5250,27,34,8.984066927653044,volkswagen
185,2,volkswagen model 111,1,0,4,sedan,fwd,front,97.3,171.7,65.5,55.7,2264,ohc,4,97,idi,3.01,3.4,23.0,52,4800,37,46,8.986571625268054,volkswagen
186,2,volkswagen type 3,0,0,4,sedan,fwd,front,97.3,171.7,65.5,55.7,2212,ohc,4,109,mpfi,3.19,3.4,9.0,85,5250,27,34,9.01127949117793,volkswagen
187,2,volkswagen 411 (sw),0,0,4,sedan,fwd,front,97.3,171.7,65.5,55.7,2275,ohc,4,109,mpfi,3.19,3.4,9.0,85,5250,27,34,9.047233034106032,volkswagen
188,2,volkswagen super beetle,1,1,4,sedan,fwd,front,97.3,171.7,65.5,55.7,2319,ohc,4,97,idi,3.01,3.4,23.0,68,4500,37,42,9.158520623246385,volkswagen
189,2,volkswagen dasher,0,0,4,sedan,fwd,front,97.3,171.7,65.5,55.7,2300,ohc,4,109,mpfi,3.19,3.4,10.0,100,5500,26,32,9.209840246934501,volkswagen
190,3,vw dasher,0,0,2,convertible,fwd,front,94.5,159.3,64.2,55.6,2254,ohc,4,109,mpfi,3.19,3.4,8.5,90,5500,24,29,9.358329249689632,volkswagen
191,3,vw rabbit,0,0,2,hatchback,fwd,front,94.5,165.7,64.0,51.4,2221,ohc,4,109,mpfi,3.19,3.4,8.5,90,5500,24,29,9.20833836930551,volkswagen
192,0,volkswagen rabbit,0,0,4,sedan,fwd,front,100.4,180.2,66.9,55.1,2661,ohc,5,136,mpfi,3.19,3.4,8.5,110,5500,19,24,9.49514330367712,volkswagen
193,0,volkswagen rabbit custom,1,1,4,sedan,fwd,front,100.4,180.2,66.9,55.1,2579,ohc,4,97,idi,3.01,3.4,23.0,68,4500,33,38,9.535679435605061,volkswagen
194,0,volkswagen dasher,0,0,4,wagon,fwd,front,100.4,183.1,66.9,55.1,2563,ohc,4,109,mpfi,3.19,3.4,9.0,88,5500,25,31,9.416541202560081,volkswagen
195,-2,volvo 145e (sw),0,0,4,sedan,rwd,front,104.3,188.8,67.2,56.2,2912,ohc,4,141,mpfi,3.78,3.15,9.5,114,5400,23,28,9.468078568054892,volvo
196,-1,volvo 144ea,0,0,4,wagon,rwd,front,104.3,188.8,67.2,57.5,3034,ohc,4,141,mpfi,3.78,3.15,9.5,114,5400,23,28,9.504128762859725,volvo
197,-2,volvo 244dl,0,0,4,sedan,rwd,front,104.3,188.8,67.2,56.2,2935,ohc,4,141,mpfi,3.78,3.15,9.5,114,5400,24,28,9.679406061493943,volvo
198,-1,volvo 245,0,0,4,wagon,rwd,front,104.3,188.8,67.2,57.5,3042,ohc,4,141,mpfi,3.78,3.15,9.5,114,5400,24,28,9.71202433782489,volvo
199,-2,volvo 264gl,0,1,4,sedan,rwd,front,104.3,188.8,67.2,56.2,3045,ohc,4,130,mpfi,3.62,3.15,7.5,162,5100,17,22,9.821192309809298,volvo
200,-1,volvo diesel,0,1,4,wagon,rwd,front,104.3,188.8,67.2,57.5,3157,ohc,4,130,mpfi,3.62,3.15,7.5,162,5100,17,22,9.849559210510572,volvo
201,-1,volvo 145e (sw),0,0,4,sedan,rwd,front,109.1,188.8,68.9,55.5,2952,ohc,4,141,mpfi,3.78,3.15,9.5,114,5400,23,28,9.731809155840653,volvo
202,-1,volvo 144ea,0,1,4,sedan,rwd,front,109.1,188.8,68.8,55.5,3049,ohc,4,141,mpfi,3.78,3.15,8.7,160,5300,19,25,9.854559878912704,volvo
203,-1,volvo 244dl,0,0,4,sedan,rwd,front,109.1,188.8,68.9,55.5,3012,ohcv,6,173,mpfi,3.58,2.87,8.8,134,5500,18,23,9.975110296209095,volvo
204,-1,volvo 246,1,1,4,sedan,rwd,front,109.1,188.8,68.9,55.5,3217,ohc,6,145,idi,3.01,3.4,23.0,106,4800,26,27,10.019936365179374,volvo
205,-1,volvo 264gl,0,1,4,sedan,rwd,front,109.1,188.8,68.9,55.5,3062,ohc,4,141,mpfi,3.78,3.15,9.5,114,5400,19,25,10.026810768568128,volvo
